year,month,region,people_assisted,meals_provided
2020,10,Berkshire,16927,200248
2020,11,Berkshire,17937,178186
2020,12,Berkshire,16561,178884
2021,1,Berkshire,13605,177563
2021,2,Berkshire,13655,162886
2021,3,Berkshire,15895,184962
2021,4,Berkshire,13783,188075
2021,5,Berkshire,13773,181544
2021,6,Berkshire,19785,161458
2021,7,Berkshire,14003,167488
2021,8,Berkshire,14053,193528
2021,9,Berkshire,15243,174262
2021,10,Berkshire,14188,159360
2021,11,Berkshire,15001,194679
2021,12,Berkshire,15067,129729
2022,1,Berkshire,13590,141819
2022,2,Berkshire,13583,155272
2022,3,Berkshire,15804,184402
2022,4,Berkshire,16745,179212
2022,5,Berkshire,17608,167782
2022,6,Berkshire,18700,141766
2022,7,Berkshire,17883,157999
2022,8,Berkshire,20383,176527
2022,9,Berkshire,19230,149941
2022,10,Berkshire,18985,154498
2022,11,Berkshire,20051,189513
2022,12,Berkshire,18261,129888
2023,1,Berkshire,19121,170796
2023,2,Berkshire,18335,144220
2023,3,Berkshire,20806,152452
2023,4,Berkshire,21086,170177
2023,5,Berkshire,21611,197335
2023,6,Berkshire,20347,179231
2023,7,Berkshire,19512,158405
2023,8,Berkshire,23127,213560
2023,9,Berkshire,21305,136789
2023,10,Berkshire,24529,213529
2023,11,Berkshire,25132,213962
2023,12,Berkshire,22040,182755
2024,1,Berkshire,23003,217525
2024,2,Berkshire,24473,225905
2024,3,Berkshire,25416,219524
2024,4,Berkshire,24568,255864
2024,5,Berkshire,26120,217061
2024,6,Berkshire,24894,206939
2024,7,Berkshire,25700,231016
2024,8,Berkshire,24997,213798
2024,9,Berkshire,25186,208809
2024,10,Berkshire,27454,239066
2024,11,Berkshire,25561,225309
2024,12,Berkshire,24067,184364
2025,1,Berkshire,25203,241693
2025,2,Berkshire,24375,217059
2025,3,Berkshire,25489,206729
2025,4,Berkshire,26869,239706
2025,5,Berkshire,25486,212099
2025,6,Berkshire,23580,203245
2025,7,Berkshire,24770,208839
2025,8,Berkshire,23890,212509
2025,9,Berkshire,24649,216032
2025,10,Berkshire,24489,180024
2025,11,Berkshire,24202,187596
2025,12,Berkshire,19944,197966
2026,1,Berkshire,19333,176191
2026,2,Berkshire,20112,187417
2026,3,Berkshire,20600,197926
2026,4,Berkshire,22024,209719
2020,10,Franklin,9312,113607
2020,11,Franklin,10261,97735
2020,12,Franklin,11053,92852
2021,1,Franklin,9082,92933
2021,2,Franklin,9217,85817
2021,3,Franklin,11027,88987
2021,4,Franklin,8965,81525
2021,5,Franklin,10207,75893
2021,6,Franklin,11112,71216
2021,7,Franklin,9294,72487
2021,8,Franklin,8010,69515
2021,9,Franklin,8996,82345
2021,10,Franklin,8644,85524
2021,11,Franklin,7818,104304
2021,12,Franklin,8286,81196
2022,1,Franklin,8745,94320
2022,2,Franklin,7790,80027
2022,3,Franklin,8467,89381
2022,4,Franklin,9260,107106
2022,5,Franklin,9260,89208
2022,6,Franklin,9623,92654
2022,7,Franklin,10545,100902
2022,8,Franklin,10519,107322
2022,9,Franklin,9579,88435
2022,10,Franklin,8222,109373
2022,11,Franklin,9213,112493
2022,12,Franklin,9380,75591
2023,1,Franklin,8667,95994
2023,2,Franklin,8515,76727
2023,3,Franklin,8457,97527
2023,4,Franklin,9778,97023
2023,5,Franklin,9665,95042
2023,6,Franklin,10358,101029
2023,7,Franklin,9769,115942
2023,8,Franklin,12055,107557
2023,9,Franklin,12293,106033
2023,10,Franklin,11812,102859
2023,11,Franklin,12056,118526
2023,12,Franklin,11265,101198
2024,1,Franklin,11908,122720
2024,2,Franklin,12534,113661
2024,3,Franklin,12034,99836
2024,4,Franklin,13177,108655
2024,5,Franklin,12745,123736
2024,6,Franklin,12115,94207
