unemployment_rate,year,month,region,mean_temperature,min_temperature,precipitation(mm),heating_season,summer_break,people_assisted,meals_provided,prev_month_people
8.3,2021,2,Berkshire,-4.396428571428571,-8.660714285714286,72.2,1,0,13655,162886,13605.0
7.7,2021,3,Berkshire,1.896774193548387,-4.196774193548387,58.9,1,0,15895,184962,13655.0
6.8,2021,4,Berkshire,7.653333333333333,2.02,134.1,0,0,13783,188075,15895.0
6.2,2021,5,Berkshire,12.864516129032259,7.687096774193549,117.8,0,0,13773,181544,13783.0
6.6,2021,6,Berkshire,19.976666666666667,14.9,63.2,0,1,19785,161458,13773.0
6.0,2021,7,Berkshire,19.716129032258067,16.18064516129032,250.20000000000002,0,1,14003,167488,19785.0
5.6,2021,8,Berkshire,21.448387096774194,17.661290322580644,140.3,0,1,14053,193528,14003.0
5.0,2021,9,Berkshire,16.926666666666666,13.21,187.8,0,0,15243,174262,14053.0
4.7,2021,10,Berkshire,12.293548387096775,8.596774193548388,131.9,0,0,14188,159360,15243.0
4.2,2021,11,Berkshire,3.1533333333333338,-0.8933333333333333,68.6,1,0,15001,194679,14188.0
4.4,2021,12,Berkshire,1.1290322580645162,-2.261290322580645,92.5,1,0,15067,129729,15001.0
5.3,2022,1,Berkshire,-7.483870967741935,-13.14516129032258,79.7,1,0,13590,141819,15067.0
5.2,2022,2,Berkshire,-3.167857142857143,-9.567857142857141,117.3,1,0,13583,155272,13590.0
4.7,2022,3,Berkshire,1.8419354838709678,-4.04516129032258,100.7,1,0,15804,184402,13583.0
3.9,2022,4,Berkshire,6.616666666666666,1.7533333333333334,132.0,0,0,16745,179212,15804.0
4.0,2022,5,Berkshire,15.570967741935483,9.8,60.5,0,0,17608,167782,16745.0
4.1,2022,6,Berkshire,17.996666666666666,12.923333333333334,81.5,0,1,18700,141766,17608.0
4.0,2022,7,Berkshire,21.9741935483871,17.006451612903227,70.7,0,1,17883,157999,18700.0
4.1,2022,8,Berkshire,21.76774193548387,17.151612903225807,63.8,0,1,20383,176527,17883.0
3.6,2022,9,Berkshire,15.773333333333333,11.870000000000001,178.6,0,0,19230,149941,20383.0
3.7,2022,10,Berkshire,10.580645161290322,6.270967741935484,110.4,0,0,18985,154498,19230.0
3.9,2022,11,Berkshire,5.693333333333333,1.8966666666666667,80.1,1,0,20051,189513,18985.0
4.2,2022,12,Berkshire,-1.432258064516129,-6.006451612903225,137.2,1,0,18261,129888,20051.0
4.8,2023,1,Berkshire,0.0645161290322581,-3.3806451612903223,124.5,1,0,19121,170796,18261.0
4.9,2023,2,Berkshire,-1.0392857142857141,-6.207142857142857,60.3,1,0,18335,144220,19121.0
4.3,2023,3,Berkshire,0.8290322580645161,-3.8806451612903223,128.3,1,0,20806,152452,18335.0
3.1,2023,4,Berkshire,9.21,3.9433333333333334,105.9,0,0,21086,170177,20806.0
3.4,2023,5,Berkshire,13.025806451612903,6.880645161290323,52.6,0,0,21611,197335,21086.0
3.6,2023,6,Berkshire,17.25,12.5,108.0,0,1,20347,179231,21611.0
3.5,2023,7,Berkshire,21.519354838709678,17.283870967741933,216.1,0,1,19512,158405,20347.0
3.5,2023,8,Berkshire,19.01290322580645,14.970967741935485,138.3,0,1,23127,213560,19512.0
3.2,2023,9,Berkshire,16.573333333333334,12.883333333333333,218.2,0,0,21305,136789,23127.0
3.3,2023,10,Berkshire,11.687096774193549,7.512903225806451,113.3,0,0,24529,213529,21305.0
3.3,2023,11,Berkshire,2.4433333333333334,-1.3333333333333333,45.9,1,0,25132,213962,24529.0
3.8,2023,12,Berkshire,1.8935483870967742,-1.3096774193548388,150.5,1,0,22040,182755,25132.0
4.5,2024,1,Berkshire,-2.935483870967742,-6.354838709677419,150.4,1,0,23003,217525,22040.0
4.7,2024,2,Berkshire,-0.8655172413793103,-5.36551724137931,32.9,1,0,24473,225905,23003.0
4.4,2024,3,Berkshire,2.990322580645161,-1.6193548387096774,193.0,1,0,25416,219524,24473.0
3.6,2024,4,Berkshire,7.42,2.4833333333333334,97.4,0,0,24568,255864,25416.0
3.9,2024,5,Berkshire,15.290322580645162,10.274193548387096,97.8,0,0,26120,217061,24568.0
4.1,2024,6,Berkshire,20.040000000000003,14.51,111.6,0,1,24894,206939,26120.0
4.2,2024,7,Berkshire,22.529032258064515,17.98709677419355,87.2,0,1,25700,231016,24894.0
4.0,2024,8,Berkshire,19.416129032258063,15.23225806451613,127.9,0,1,24997,213798,25700.0
3.4,2024,9,Berkshire,16.603333333333335,11.770000000000001,38.6,0,0,25186,208809,24997.0
3.6,2024,10,Berkshire,10.738709677419354,6.216129032258064,55.4,0,0,27454,239066,25186.0
3.8,2024,11,Berkshire,5.183333333333334,1.6333333333333333,82.39999999999999,1,0,25561,225309,27454.0
4.0,2024,12,Berkshire,-2.5935483870967744,-6.503225806451613,94.60000000000001,1,0,24067,184364,25561.0
4.7,2025,1,Berkshire,-6.770967741935484,-10.435483870967742,55.8,1,0,25203,241693,24067.0
5.0,2025,2,Berkshire,-5.207142857142857,-9.914285714285715,75.7,1,0,24375,217059,25203.0
4.8,2025,3,Berkshire,2.9516129032258065,-2.448387096774194,82.39999999999999,1,0,25489,206729,24375.0
4.1,2025,4,Berkshire,7.63,2.7633333333333336,103.3,0,0,26869,239706,25489.0
4.2,2025,5,Berkshire,13.212903225806452,9.254838709677419,238.1,0,0,25486,212099,26869.0
4.1,2025,6,Berkshire,19.009999999999998,14.67,104.7,0,1,23580,203245,25486.0
4.1,2025,7,Berkshire,22.125806451612902,17.83225806451613,128.0,0,1,24770,208839,23580.0
4.0,2025,8,Berkshire,19.154838709677417,14.496774193548386,36.9,0,1,23890,212509,24770.0
4.0,2025,9,Berkshire,16.98,12.06,70.7,0,0,24649,216032,23890.0
4.7,2025,11,Berkshire,2.896666666666667,-0.3766666666666667,75.5,1,0,24202,187596,24649.0
